name,description,image,thumbnail,category_url_key
Herrasmies ja hienot rouvat,"Herrasmies ja hienot rouvat, 15x10cm, kortti",herrasmies_ja_hienot_rouvat.jpg,herrasmies_ja_hienot_rouvat_100y.jpg,autokortit
Huilihetki,"Huilihetki, 15x10cm, kortti",huilihetki.jpg,huilihetki_100y.jpg,autokortit
Häkäpöntön huolto,"Häkäpöntön huolto, 15x10cm, kortti",hakaponton_huolto.jpg,hakaponton_huolto_100y.jpg,autokortit
Hääpari,"Hääpari, 15x10cm, kortti",haapari.jpg,haapari_100y.jpg,autokortit
Kevättä rinnassa,"Kevättä rinnassa, 15x10cm, kortti",kevatta_rinnassa.jpg,kevatta_rinnassa_100y.jpg,autokortit
Kyllä herkkusuiden kelpaa,"Kyllä herkkusuiden kelpaa, 15x10cm, kortti",kylla_herkkusuiden_kelpaa.jpg,kylla_herkkusuiden_kelpaa_100y.jpg,autokortit
Mielenkiintoista katseltavaa,"Mielenkiintoista katseltavaa, 15x10cm, kortti",mielenkiintoista_katseltavaa.jpg,mielenkiintoista_katseltavaa_100y.jpg,autokortit
Rakastunut nuorimies,"Rakastunut nuorimies, 15x10cm, kortti",rakastunut_nuorimies.jpg,rakastunut_nuorimies_100y.jpg,autokortit
Vientiä pukkaa,"Vientiä pukkaa, 15x10cm, kortti",vientia_pukkaa.jpg,vientia_pukkaa_100y.jpg,autokortit
Vuosimallia 1911,"Vuosimallia 1911, 15x10cm, kortti",vuosimallia_1911.jpg,vuosimallia_100y.jpg,autokortit
