name,description,image,thumbnail,category_url_key
Kortti 1,"Kortti 1, 15x10cm, kortti",kortti1.jpg ,kortti1_100y.jpg,kesakortit
Kortti 2,"Kortti 2, 15x10cm, kortti",kortti2.jpg ,kortti2_100y.jpg,kesakortit
Kortti 3,"Kortti 3, 15x10cm, kortti",kortti3.jpg ,kortti3_100y.jpg,kesakortit
Kortti 4,"Kortti 4, 15x10cm, kortti",kortti4.jpg ,kortti4_100y.jpg,kesakortit
Kortti 5,"Kortti 5, 15x10cm, kortti",kortti5.jpg ,kortti5_100y.jpg,kesakortit
Kortti 6,"Kortti 6, 15x10cm, kortti",kortti6.jpg ,kortti6_100y.jpg,kesakortit
Kortti 7,"Kortti 7, 15x10cm, kortti",kortti7.jpg ,kortti7_100y.jpg,kesakortit
Kortti 8,"Kortti 8, 15x10cm, kortti",kortti8.jpg ,kortti8_100y.jpg,kesakortit
Kortti 9,"Kortti 9, 15x10cm, kortti",kortti9.jpg ,kortti9_100y.jpg,kesakortit
Kortti 10,"Kortti 10, 15x10cm, kortti",kortti10.jpg ,kortti10_100y.jpg,kesakortit
