name,description,image,thumbnail,category_url_key
Lasten hääleikki,"Lasten hääleikki, 40x50cm, öljy, 350€",lasten_haaleikki.jpg,lasten_haaleikki_100y.jpg,oljy
Sotalapset,"Sotalapset, 40x50cm, öljy, 350€",sotalapset.jpg,sotalapset_100y.jpg,oljy
Riisitaudin runtelema pikkutyttö,"Riisitaudin runtelema pikkutyttö, 40x50cm, öljy, 350€",riisitaudin_runtelema_pikkutytto.jpg,riisitaudin_runtelema_pikkutytto_100y.jpg,oljy
Isosiskon saappaissa,"Isosiskon saappaissa, 40x50cm, öljy, 350€",isosiskon_saappaissa.jpg,isosiskon_saappaissa_100y.jpg,oljy
Niittykahvilla,"Niittykahvilla, 40x50cm, öljy, 350€",niittykahvilla.jpg,niittykahvilla_100y.jpg,oljy
Kukkalähetit,"Kukkalähetit, 40x50cm, öljy, 350€",kukkalahetit.jpg,kukkalahetit_100y.jpg,oljy
Raatteentien taistelu ,"Raatteentien taistelu, 50x40cm, öljy, 200€",raatteentien_taistelu.jpg,raatteentien_taistelu_100y.jpg,oljy
Panssarintorjuntatykki ja miehet,"Panssarintorjuntatykki ja miehet, 40x50cm, öljy, 350€",panssarintorjuntatykki_ja_miehet.jpg,panssarintorjuntatykki_ja_miehet_100y.jpg,oljy
Kauppa vuosikymmenten takaa,"Kauppa vuosikymmenten takaa, 60x40cm, öljy, 400€",kauppa_vuosikymmenten_takaa.jpg,kauppa_vuosikymmenten_takaa_100y.jpg,oljy
Rattoinen kahvihetki porstuan kautta,"Rattoinen kahvihetki porstuan kautta, 40x50cm, öljy, 350€",rattoinen_kahvihetki.jpg,rattoinen_kahvihetki_100y.jpg,oljy
Maalaisten vesijohto kovana pakkastalvena,"Maalaisten vesijohto kovana pakkastalvena, 60x35cm, öljy, 400€",maalaisten_vesijohto_kovana_pakkastalvena.jpg,maalaisten_vesijohto_kovana_pakkastalvena_100y.jpg,oljy
Helmikuun heleä ilta,"Helmikuun heleä ilta, 40x50cm, öljy, 300€",helmikuun_helea_ilta.jpg,helmikuun_helea_ilta_100y.jpg,oljy
Lukutoukka,"Lukutoukka, 40x50cm, öljy, 300€",lukutoukka.jpg,lukutoukka_100y.jpg,oljy
1800-luvun tuoli 1950-luvun kodissa,"1800-luvun tuoli 1950-luvun kodissa, 40x50cm, öljy, 300€",1800-luvuntuoli.jpg,1800-luvuntuoli_100y.jpg,oljy
Avaruuskalat,"Avaruuskalat, 73x58cm, öljy-tempera, 450€",avaruuskalat.jpg,avaruuskalat_100y.jpg,oljy
Retro on rentoa,"Retro on rentoa, 35x70cm, öljy, 400€",retro_on_rentoa.jpg,retro_on_rentoa_100y.jpg,oljy
Käärmesilmäinen katse,"Käärmesilmäinen katse, 60x60cm, öljy, 300€",kaarmesilmainen_katse.jpg,kaarmesilmainen_katse_100y.jpg,oljy
Satumetsä,"Satumetsä, 30x40cm, öljy, 100€",satumetsa.jpg,satumetsa_100y.jpg,oljy
Tulilinnut,"Tulilinnut 58x83cm, öljy, ei myytävänä",tulilinnut.jpg,tulilinnut_100y.jpg,oljy
Tanssi meren syleilyssä,"Tanssi meren syleilyssä, 83x58cm, öljy, ei myytävänä",tanssi_meren_syleilyssa.jpg,tanssi_meren_syleilyssa_100y.jpg,oljy
